ID,Height,Diameter,TreeCover,Ellipsoid
IPV5,6.00,9.80,75.43,301.72
IPV2,3.60,5.60,24.63,59.11
IPV3,2.50,4.30,14.52,24.20
IPV4,3.50,5.40,22.90,53.44
IPV1,3.50,4.80,18.10,42.22
IM1,7.00,5.50,23.76,110.87
IM2,4.50,7.50,44.18,132.54
IM3,4.50,5.30,22.06,66.19
IM4,4.50,5.50,23.76,71.27
IM5,5.50,6.80,36.32,133.16
IPF1,4.50,8.00,50.27,150.80
IPF2,4.00,5.50,23.76,63.36
IPF3,4.50,6.50,33.18,99.55
IPF4,4.50,6.70,35.26,105.77
IPF5,4.50,6.30,31.17,93.52
CPV1,3.50,4.60,16.62,38.78
CPV2,3.00,4.50,15.90,31.81
CPV3,3.00,6.50,33.18,66.37
CPV4,5.00,7.10,39.59,131.97
CPV5,4.00,5.30,22.06,58.83
CM1,3.50,6.00,28.27,65.97
CM2,4.00,5.50,23.76,63.36
CM3,4.00,6.90,37.39,99.71
CM4,3.00,6.00,28.27,56.55
CM5,4.50,7.40,43.01,129.03
CPF1,4.50,5.40,22.90,68.71
CPF2,4.50,5.60,24.63,73.89
CPF3,5.00,6.00,28.27,94.25
CPF4,4.50,5.20,21.24,63.71
CPF5,4.50,6.30,31.17,93.52
NPV1,2.70,5.00,19.63,35.34
NPV2,3.00,5.00,19.63,39.27
NPV3,3.00,5.40,22.90,45.80
NPV4,4.50,7.40,43.01,129.03
NPV5,5.00,11.30,100.29,334.29
NM1,3.20,4.50,15.90,33.93
NM2,4.50,6.50,33.18,99.55
NM3,4.50,4.70,17.35,52.05
NM4,3.60,4.50,15.90,38.17
NM5,3.50,6.80,36.32,84.74
NPF1,4.00,5.10,20.43,54.48
NPF2,3.50,4.30,14.52,33.88
NPF3,5.00,5.70,25.52,85.06
NPF4,3.50,5.30,22.06,51.48
NPF5,5.50,6.80,36.32,133.16